ID,class
1,0.001241734
2,2.83595E-05
3,0.017542481
4,0.001239027
5,1.10E-12
6,6.51096E-05
7,0.026993785
8,0.005227762
9,0.007251314
10,0.051565453
11,1.72E-21
12,0.008370869
13,6.56E-22
14,0.004643682
15,0.000160314
16,3.68E-20
17,0.000273015
18,8.63E-11
19,3.47E-14
20,8.27E-13
21,2.10523E-05
22,0.082945537
23,0.045049181
24,0.015181618
25,0.027923131
26,0.011917889
27,0.011620614
28,0.033643488
29,0.008842248
30,0.002616906
31,1.13E-18
32,0.000187071
33,0.000140776
34,3.19E-07
35,0.0033258
36,0.017815407
37,0.005174191
38,0.009975544
39,0.029864935
40,1.27E-07
41,0.01115848
42,0.010486898
43,0.015878691
44,0.034933861
45,0.004786601
46,0.000186164
47,3.29E-07
48,0.019271883
49,1.38E-18
50,0.000534972
51,2.89E-06
52,0.010335622
53,7.02E-10
54,0.123997391
55,0.00450762
56,1.56E-29
57,0.000245651
58,9.18E-11
59,2.00E-06
60,0.003457137
61,5.86E-16
62,0.010970593
63,4.62E-08
64,0.006278452
65,1.47E-09
66,1.13E-08
67,0.000288322
68,7.90E-17
69,2.21E-20
70,0.000115527
71,0.012299114
72,0.007497968
73,0.033720942
74,0.007540058
75,0.000221193
76,0.099674125
77,3.14E-11
78,2.41E-12
79,6.78E-13
80,0.000074002
81,5.10E-18
82,4.43E-07
83,0.017105604
84,3.01E-06
85,3.48E-19
86,0.000138823
87,0.012249787
88,0.016203414
89,0.000107865
90,2.23E-23
91,0.000224878
92,0.056873455
93,0.011346075
94,1.17E-14
95,0.00704299
96,0.015584085
97,0.078332135
98,4.28E-15
99,0.009659125
100,2.36E-08
101,2.20E-20
102,0.008343132
103,5.08E-09
104,2.64E-12
105,6.17E-13
106,0.002412693
107,2.03557E-05
108,1.94E-08
109,0.003032064
110,0.000100952
111,6.84E-24
112,0.005541264
113,0.007533287
114,0.037769717
115,2.38E-16
116,5.21E-19
117,0.000258972
118,0.145284621
119,0.00627675
120,2.03E-17
121,0.000525997
122,6.18E-11
123,6.81E-12
124,0.006167725
125,0.072507984
126,0.012157366
127,6.25E-19
128,0.002540357
129,0.000121944
130,1.18E-10
131,7.75E-07
132,0.01512954
133,0.00011566
134,0.038589656
135,0.000508673
136,1.61E-18
137,5.99E-11
138,0.008143366
139,1.66E-24
140,2.16E-26
141,1.71E-06
142,0.021070611
143,0.01322442
144,1.27E-11
145,8.20469E-05
146,0.113434619
147,0.028166129
148,3.64E-16
149,0.003347312
150,6.07895E-05
151,0.001785639
152,0.054407517
153,2.78E-08
154,0.012858945
155,8.62E-15
156,0.000242514
157,7.20227E-05
158,9.58563E-05
159,0.028350183
160,0.00360532
161,0.016433917
162,6.27363E-05
163,0.008276296
164,0.009590259
165,1.67E-17
166,0.057642587
167,2.28E-24
168,0.027854081
169,1.19E-10
170,2.61E-18
171,2.02E-20
172,4.18E-18
173,2.67E-08
174,0.000449009
